City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Kidal,ML,2020-11-03 02:01:57,18.44,1.41,72.91,21,100,12.46
131,Maragogi,BR,2020-11-03 01:58:00,-9.01,-35.22,76.59,82,12,8.3
132,Ponta Do Sol,PT,2020-11-03 02:01:58,32.67,-17.1,69.8,73,75,16.11
133,Bredasdorp,ZA,2020-11-03 02:01:58,-34.53,20.04,64.4,88,98,11.41
134,Kroya,ID,2020-11-03 02:01:58,-7.63,109.25,73.99,72,4,2.8
135,Rauma,FI,2020-11-03 02:01:58,61.13,21.51,55.4,87,75,12.75
136,Kodiak,US,2020-11-03 02:01:58,57.79,-152.41,28.4,46,1,17.22
137,Saskylakh,RU,2020-11-03 02:01:58,71.92,114.08,9.45,95,100,8.75
138,Gdov,RU,2020-11-03 02:02:00,58.74,27.81,46.56,87,100,22.79
139,Chepareria,KE,2020-11-03 02:02:00,1.31,35.2,60.21,80,88,3.44
140,Jatai,BR,2020-11-03 02:00:47,-17.88,-51.71,66.76,48,0,5.88
141,Tiksi,RU,2020-11-03 02:02:00,71.69,128.87,4.59,93,100,2.51
142,Gamba,GA,2020-11-03 02:02:00,-2.65,10.0,74.84,93,82,3.27
143,Eureka,US,2020-11-03 02:02:00,40.8,-124.16,48.99,100,90,3.36
144,Trairi,BR,2020-11-03 02:02:01,-3.28,-39.27,79.5,80,0,10.6
145,Talnakh,RU,2020-11-03 02:01:57,69.49,88.4,12.2,85,40,2.24
146,Portland,US,2020-11-03 01:57:38,45.52,-122.68,57.99,73,99,1.34
147,Jamestown,US,2020-11-03 02:02:01,42.1,-79.24,37.99,59,1,19.46
148,Abu Samrah,SY,2020-11-03 02:02:01,35.3,37.18,57.07,73,3,1.79
149,Krasnovishersk,RU,2020-11-03 02:02:02,60.41,57.08,23.47,98,14,3.2
150,Taga,RO,2020-11-03 02:02:03,46.95,24.05,45.0,100,90,3.36
151,Acapulco,MX,2020-11-03 01:59:10,16.86,-99.89,82.4,88,20,8.05
152,Ankang,CN,2020-11-03 02:02:04,32.68,109.02,55.0,44,100,11.01
153,Mar Del Plata,AR,2020-11-03 02:02:04,-38.0,-57.56,60.01,87,0,6.93
154,Tuktoyaktuk,CA,2020-11-03 02:02:05,69.45,-133.04,5.0,84,75,10.29
155,Kruglolesskoye,RU,2020-11-03 02:02:05,44.66,42.81,51.8,87,75,4.47
156,Mayumba,GA,2020-11-03 02:00:39,-3.43,10.66,76.91,89,99,4.5
157,Locri,IT,2020-11-03 02:02:05,38.24,16.26,42.01,28,41,8.79
158,Mackay,AU,2020-11-03 02:00:00,-21.15,149.2,82.99,58,40,17.22
159,Tilichiki,RU,2020-11-03 02:01:13,60.47,166.1,32.76,98,100,3.67
160,Chifeng,CN,2020-11-03 02:02:05,42.27,118.96,31.24,61,0,14.5
161,Nabire,ID,2020-11-03 02:02:05,-3.37,135.48,87.71,60,95,4.54
162,Galle,LK,2020-11-03 02:02:06,6.04,80.22,79.95,79,67,4.23
163,Viedma,AR,2020-11-03 02:00:25,-40.81,-63.0,66.99,54,100,3.0
164,Hithadhoo,MV,2020-11-03 02:02:06,-0.6,73.08,83.25,71,100,7.96
165,Yellowknife,CA,2020-11-03 02:00:38,62.46,-114.35,10.4,85,90,10.29
166,Ambulu,ID,2020-11-03 02:02:06,-8.35,113.61,86.09,61,59,2.39
167,Khatanga,RU,2020-11-03 02:02:06,71.97,102.5,8.22,95,100,7.74
168,Cervo,ES,2020-11-03 02:02:06,43.67,-7.41,37.99,100,35,1.99
169,Saint-Philippe,RE,2020-11-03 02:00:54,-21.36,55.77,68.0,60,75,6.93
170,Badarpur,IN,2020-11-03 02:02:07,24.9,92.6,77.09,88,60,1.48
171,Suntar,RU,2020-11-03 02:02:07,62.14,117.63,9.5,90,100,8.5
172,Santa Lucia,ES,2020-11-03 02:02:07,27.91,-15.54,71.6,68,75,16.11
173,Vila Velha,BR,2020-11-03 02:02:07,-20.33,-40.29,69.8,68,40,4.7
174,Qandala,SO,2020-11-03 02:02:07,11.47,49.87,77.83,77,51,7.85
175,Nanortalik,GL,2020-11-03 02:02:07,60.14,-45.24,36.12,79,99,13.18
176,Juba,SS,2020-11-03 02:02:08,4.85,31.58,73.47,77,7,1.7
177,Pandamatenga,BW,2020-11-03 02:02:08,-18.53,25.63,66.83,59,91,6.13
178,Lata,PT,2020-11-03 02:01:39,40.16,-8.33,57.99,85,84,4.0
179,Ancud,CL,2020-11-03 02:02:08,-41.87,-73.82,53.01,93,75,3.36
180,Milas,TR,2020-11-03 02:02:08,37.32,27.78,44.6,81,0,3.36
181,Leningradskiy,RU,2020-11-03 02:02:08,69.38,178.42,16.48,91,100,20.76
182,Souillac,MU,2020-11-03 02:02:08,-20.52,57.52,71.6,73,75,10.29
183,Camargo,MX,2020-11-03 02:02:08,27.67,-105.17,62.62,36,6,9.48
184,Gap,FR,2020-11-03 02:02:08,44.67,6.0,48.99,88,0,2.59
185,Noumea,NC,2020-11-03 02:02:09,-22.28,166.46,86.0,58,0,9.17
186,Siuna,NI,2020-11-03 02:02:10,13.73,-84.78,71.58,95,100,7.07
187,Kloulklubed,PW,2020-11-03 02:02:10,7.04,134.26,86.0,74,75,8.05
188,Kysyl-Syr,RU,2020-11-03 02:02:10,63.9,122.76,4.98,88,100,6.73
189,Imbituba,BR,2020-11-03 02:01:05,-28.24,-48.67,66.2,77,75,2.24
190,Nikologory,RU,2020-11-03 02:02:10,56.14,41.99,35.73,96,7,5.48
191,Avera,US,2020-11-03 02:02:10,33.19,-82.53,42.8,87,1,1.86
192,Abyek,IR,2020-11-03 02:02:11,36.07,50.55,55.4,30,20,9.17
193,Cabo San Lucas,MX,2020-11-03 01:59:43,22.89,-109.91,80.6,69,20,5.82
194,Itarema,BR,2020-11-03 02:02:12,-2.92,-39.92,79.27,83,2,10.87
195,Morden,CA,2020-11-03 02:02:12,49.19,-98.1,53.6,53,79,4.7
196,Fairbanks,US,2020-11-03 02:00:53,64.84,-147.72,-11.0,76,40,1.83
197,Quatre Cocos,MU,2020-11-03 02:02:12,-20.21,57.76,71.6,73,75,10.29
198,Naze,JP,2020-11-03 02:02:12,28.37,129.48,73.4,60,75,21.92
199,Okhotsk,RU,2020-11-03 02:02:13,59.38,143.3,32.07,95,100,27.13
200,Lucan,IE,2020-11-03 02:02:13,53.36,-6.44,43.0,80,0,18.34
201,Los Llanos De Aridane,ES,2020-11-03 02:02:13,28.66,-17.92,71.6,78,0,14.99
202,Sundsvall,SE,2020-11-03 02:02:13,62.39,17.31,37.4,100,92,3.36
